Sl. No.,Commodity,2020-21,2021-22,2022-23,2023-24,2024-25
1.i,Paddy (Common),1868,1940,2040,2183,2300
1.ii,Paddy (Grade A),1888,1960,2060,2203,2320
2.i,Jowar (Hybrid),2620,2738,2970,3180,3371
2.ii,Jowar (Maldandi),2640,2758,2990,3225,3421
3,Bajra,2150,2250,2350,2500,2625
4,Ragi,3295,3377,3578,3846,4290
5,Maize,1850,1870,1962,2090,2225
6,Tur (Arhar),6000,6300,6600,7000,7550
7,Moong,7196,7275,7755,8558,8682
8,Urad,6000,6300,6600,6950,7400
9,Groundnut,5275,5550,5850,6377,6783
10,Sunflower Seed,5885,6015,6400,6760,7280
11,Soyabeen (Yellow),3880,3950,4300,4600,4892
12,Sesamum,6855,7307,7830,8635,9267
13,Nigerseed,6695,6930,7287,7734,8717
14.i,Cotton (Medium Staple),5515,5726,6080,6620,7121
14.ii,Cotton (Long Staple),5825,6025,6380,7020,7521
